Individual ID,Cylindrical_type,Umbrella_type,Open_type,Compact_type,Erectibility
IITA-TMS-IBA030177,0,0,1,0,0
IITA-TMS-IBA030265,0,1,0,0,1
IITA-TMS-IBA030060,0,1,0,0,1
IITA-TMS-IBA030013,0,0,1,0,0
IITA-TMS-IBA030242,0,0,1,0,0
IITA-TMS-IBA030275,0,1,0,0,1
IITA-TMS-IBA030028,0,1,0,0,1
IITA-TMS-IBA020091,0,1,0,0,1
IITA-TMS-IBA020129,0,1,0,0,1
IITA-TMS-IBA020093,0,0,1,0,0
IITA-TMS-IBA000210,0,1,0,0,1
IITA-TMS-IBA020540,0,0,1,0,0
IITA-TMS-IBA020516,0,0,1,0,0
IITA-TMS-IBA020452,0,1,0,0,1
IITA-TMS-IBA020588,0,0,1,0,0
IITA-TMS-IBA020431,0,0,1,0,0
IITA-TMS-IBA020510,0,0,1,0,0
IITA-TMS-IBA020233,0,1,0,0,1
IITA-TMS-IBA020134,0,1,0,0,1
IITA-TMS-IBA020131,0,1,0,0,1
IITA-TMS-IBA020570,0,1,0,0,1
IITA-TMS-IBA011296,0,0,1,0,0
IITA-TMS-IBA011404,0,0,1,0,0
IITA-TMS-IBA011635,0,1,0,0,1
IITA-TMS-IBA011086,0,1,0,0,1
IITA-TMS-IBA010045,0,1,0,0,1
IITA-TMS-IBA011115,0,0,1,0,0
IITA-TMS-IBA011802,0,0,1,0,0
IITA-TMS-IBA011413,0,0,1,0,0
IITA-TMS-IBA010732,0,0,1,0,0
IITA-TMS-IBA011335,0,1,0,0,1
IITA-TMS-IBA010760,0,0,1,0,0
IITA-TMS-IBA011331,0,1,0,0,1
IITA-TMS-MM013004,0,0,1,0,0
IITA-TMS-MM011161,0,0,1,0,0
IITA-TMS-MM010540,0,1,0,0,1
IITA-TMS-MM011196,0,0,1,0,0
IITA-TMS-ZAR010087,0,0,1,0,0
IITA-TMS-IBA974766,0,0,1,0,0
IITA-TMS-IBA000093,0,1,0,0,1
IITA-TMS-IBA000338,0,1,0,0,1
IITA-TMS-IBA000214,0,0,1,0,0
IITA-TMS-IBA000101,0,0,1,0,0
IITA-TMS-IBA000049,0,1,0,0,1
IITA-TMS-IBA000388,0,1,0,0,1
IITA-TMS-IBA000378,0,0,1,0,0
IITA-TMS-IBA000345,1,0,0,0,1
IITA-TMS-IBA000346,0,0,1,0,0
IITA-TMS-IBA000017,0,0,1,0,0
IITA-TMS-IBA000364,0,0,1,0,0
IITA-TMS-IBA000342,0,0,1,0,0
IITA-TMS-IBA000211,0,1,0,0,1
IITA-TMS-IBA000355,0,1,0,0,1
IITA-TMS-IBA000350,0,0,1,0,0
IITA-TMS-IBA000070,0,0,1,0,0
IITA-TMS-IBA000354,0,0,1,0,0
IITA-TMS-IBA000222,0,1,0,0,1
IITA-TMS-MOK000068,0,0,1,0,0
IITA-TMS-MOK000175,0,0,1,0,0
IITA-TMS-MOK000146,0,0,1,0,0
IITA-TMS-MOK000044,0,0,1,0,0
IITA-TMS-MOK000142,0,1,0,0,1
IITA-TMS-ZAR000012,0,0,1,0,0
IITA-TMS-ZAR000120,0,1,0,0,1
IITA-TMS-IBA997032,0,0,1,0,0
IITA-TMS-IBA993151,0,0,1,0,0
IITA-TMS-IBA990554,1,0,0,0,1
IITA-TMS-IBA991702,0,0,1,0,0
IITA-TMS-IBA991734,0,0,1,0,0
IITA-TMS-IBA990111,0,0,1,0,0
IITA-TMS-IBA992123,0,0,1,0,0
IITA-TMS-IBA996016,0,0,1,0,0
IITA-TMS-IBA997578,0,1,0,0,1
IITA-TMS-IBA990543,0,1,0,0,1
IITA-TMS-IBA996076,0,0,1,0,0
IITA-TMS-IBA991579,0,0,1,0,0
IITA-TMS-IBA991903,0,0,1,0,0
IITA-TMS-IBA990313,0,0,0,1,0
IITA-TMS-IBA997533,0,1,0,0,1
IITA-TMS-IBA990119,0,1,0,0,1
IITA-TMS-IBA991590,0,0,1,0,0
IITA-TMS-MM990477,0,0,1,0,0
IITA-TMS-MM990268,0,0,1,0,0
IITA-TMS-MM990214,0,0,1,0,0
IITA-TMS-ZAR990207,0,0,0,1,0
IITA-TMS-MOK980004,0,1,0,0,1
IITA-TMS-MOK980057,0,0,1,0,0
IITA-TMS-ZAR980135,0,0,1,0,0
IITA-TMS-ZAR980190,0,0,1,0,0
IITA-TMS-ZAR980137,0,0,1,0,0
IITA-TMS-ZAR980139,0,0,1,0,0
IITA-TMS-ZAR980144,0,1,0,0,1
IITA-TMS-ZAR980098,0,1,0,0,1
IITA-TMS-IBA974763,0,1,0,0,1
IITA-TMS-IBA970335,0,1,0,0,1
IITA-TMS-IBA970255,0,1,0,0,1
IITA-TMS-IBA970425,0,0,1,0,0
IITA-TMS-IBA970286,0,1,0,0,1
IITA-TMS-IBA974013,0,0,1,0,0
