germplasmName,Dim.1,Dim.2
IITA-TMS-IBA030279,0.0014267160785762024,0.030117108383988754
IITA-TMS-IBA030256,0.010099770830981021,0.03152085301861601
IITA-TMS-IBA030284,0.008292287481682727,9.476271245153195e-5
IITA-TMS-IBA030224,4.0049318465840656e-5,0.016710226367269293
IITA-TMS-IBA030276,0.007658696025648074,0.010643937904022674
IITA-TMS-IBA030273,0.010229816923079997,0.010539932850689923
IITA-TMS-IBA030305,0.006944347685422083,0.02173452041628261
IITA-TMS-IBA030254,0.009368735749251296,0.02058601989939132
I974045,0.012115481843878896,0.02085277486232688
IITA-TMS-IBA051646,1.0330334292590628e-4,0.02746696657033175
IITA-TMS-IBA051600,0.015698628489290798,0.02184384878517347
IITA-TMS-IBA051626,0.016091617239315546,0.023279185237392624
IITA-TMS-IBA051662,0.015723390520958835,0.02339134651141152
IITA-TMS-IBA051658,0.01278153077593534,0.013676501017035481
IITA-TMS-IBA051652,0.014229594796347268,0.02803871903456525
IITA-TMS-IBA050127,0.003437765348718981,2.8292693934228697e-4
IITA-TMS-IBA051636,0.018727542277333344,0.008199806661544204
IITA-TMS-IBA050100,0.018008951067132066,0.0011376946611684313
IITA-TMS-IBA051632,2.4402798934335956e-4,0.004552022219204991
IITA-TMS-IBA051599,0.019198922818234276,0.003688349792803838
IITA-TMS-IBA051601,0.00389943653278117,0.005238934349375454
IITA-TMS-IBA050303,0.0015813168248093171,0.002788031321859639
IITA-TMS-IBA051631,0.005417488106055471,0.008003604351646505
IITA-TMS-IBA051625,0.016077766180976293,0.02274766787483286
IITA-TMS-IBA051654,0.015197275939167568,0.008467355408752694
IITA-TMS-IBA051653,0.0064745979142409975,0.003338840229087153
IITA-TMS-IBA050473,0.0070661285788906104,8.57972066168661e-7
IITA-TMS-IBA050186,0.004208990521001997,0.08783334659408609
IITA-TMS-IBA050327,0.004523959796997553,4.8038899720527e-4
IITA-TMS-IBA051740,0.015080400683941347,1.3137437792897896e-4
IITA-TMS-IBA050741,0.004627088669007201,8.16091285283564e-4
IITA-TMS-IBA050286,9.877320883496722e-6,0.049429060376847765
IITA-TMS-IBA050099,0.014693750226598246,1.5569208479744037e-5
IITA-TMS-IBA051814,0.014727244585213071,5.00493837839971e-4
IITA-TMS-IBA050998,0.020875853693172797,3.8120955290346024e-4
IITA-TMS-IBA050231,0.004326571592935649,0.00939093599638144
IITA-TMS-IBA051553,0.006057961184702328,0.007118796237502175
IITA-TMS-IBA050128,0.019510734019894643,5.067566941400596e-5
IITA-TMS-IBA050311,0.0159624376227014,7.091654273295849e-4
IITA-TMS-IBA050024,0.011104745216493593,2.147607078397604e-4
IITA-TMS-IBA050125,0.0088945745018749,0.00453378376973953
IITA-TMS-IBA051274,0.01846900332421014,0.0026713848505414057
IITA-TMS-IBA051570,0.012672696354470275,2.788941316261957e-4
BAHKYEHEMAA,0.00560082540558629,0.006877545811170562
BA95070,0.017763698498934725,0.017415972714073705
DOKUNBAHKYE,0.003685962227708428,0.011224152495226928
IITA-TMS-IBA030007,0.006362679005124826,0.0014313350951993536
IITA-TMS-IBA030028,0.005087229983885483,0.00828487087812207
IITA-TMS-IBA030059,0.0017860248017516596,0.014867087610546123
IITA-TMS-IBA030013,0.00775663608917883,3.370526703669861e-4
IITA-TMS-IBA030042,0.004146230863325694,0.06366229713620095
IITA-TMS-IBA030060,0.010171335450551386,0.03066894639674344
IITA-TMS-IBA030006A,0.014646340384183804,0.004493550914899196
IITA-TMS-IBA030006B,0.010064114756264992,0.002824348230408842
IITA-TMS-IBA030015,0.008474607108459402,0.012240096715396147
IITA-TMS-IBA030057,0.013260812620487932,8.620057370090887e-6
ESAMBAHKYE,0.010466806619999615,0.003578264446028673
IITA-TMS-IBA030030,0.010712493039572255,0.01647626171009083
IITA-TMS-IBA030055A,0.010095710309326433,0.03111265181536158
IITA-TMS-IBA011811,0.016439372596638878,5.079553781216978e-4
95NA-00063,0.013439569500868801,1.484510786305873e-4
IITA-TMS-BAD92033,0.013863722655605159,1.0920790841085819e-5
