Trials,VarG,VarE,Mean,H2,CV,PEV,Ac
13CET489tp2umu,0.0560323895271031,0.457648005200671,2.83508810992389,0.252312235509927,0.238615815960273,0.0420117267564305,0.500224201974061
19.GS.C4B.PYT.88.AG,0,1.03563572423698,2.00347526236882,0,0.507948318622994,0,NA
21.C1.C2.CMS.AYT.40.IB,0.0723058073665542,0.622819300959158,1.53911948191616,0.65550679264784,0.512753573712348,0.0254252740387168,0.805210968088887
19C2bCETGSumu,0,3.06908096304185,1.96387869822485,0,0.892050648391887,0,NA
13NEXTgenC0IK,0.0285774961869176,0.452630072305608,0.995326204974393,0.25408963185018,0.67593706869947,0.0215107979352959,0.497274496027644
16geneticstockhighDMCETIB,0,0.26407298429641,1.3347962697274,0,0.384987831207147,0,NA
21.C1.C2.CMS.AYT.40.MK,0.156238036480333,0.892632574259158,1.59763938849866,0.75854598143936,0.591367708707717,0.0382024893871108,0.869186600382755
21.GS.C4B.PYT.272.IB,0,0.155942501220419,0.711451704545454,0,0.555056028166317,0,NA
19C2aPYTGSOtobi,0,0.946319864963547,2.53458591549296,0,0.383806178052611,0,NA
17.GS.C3.CET.283.MK,0,1.22916012310811,1.73895844155844,0,0.637551141959885,0,NA
19.GS.C4B.PYT.132.IK,0,1.02337956260105,1.83067432950191,0,0.552595416197919,0,NA
16C1aCETnonGSumu,0,1.17013050351702,1.74545280612245,0,0.619739303425941,0,NA
15CETtp1set2umu,0,0.577262347773944,2.545368956743,0,0.298494183285639,0,NA
14geneticgainUB,0.120960415132108,0.330212247421848,2.45855761782975,0.280085758032811,0.233730935756706,0.0879538083977426,0.522370695001136
16.GS.C3.CET.259.IB,0,1.03055735658012,1.69641860465116,0,0.598415807553399,0,NA
17C1bCETumu,0.00753345177933711,0.664146701002437,2.1834829727139,0.0238176738991169,0.37323486034633,0.00735622427356365,0.153379937457895
11cetNR11seriesUM,0.734504063206085,0.00617347550603988,2.52152738229746,0.995427921186362,0.0311602674068004,0.0035922639581712,0.997551635781438
19introLatAmeumu,0,2.24533843154616,1.93500666666667,0,0.774387687651864,0,NA
19.GS.C4B.PYT.140.IB,0,1.20714160475868,2.0362215320911,0,0.539577813068204,0,NA
19.GS.C4B.PYT.135.UB,0,1.78141958383004,1.65959320288363,0,0.804232211602445,0,NA
19C2aPYTGSumu,0,0.93230740512826,1.31156381909548,0,0.736190381847516,0,NA
18.GS.C4B.CET.600.setB.IK,0,1.19751929413778,2.03888051595384,0,0.536722107318328,0,NA
18.GS.C4B.CET.560.IK,0,1.0984213681658,1.93305073431242,0,0.542177179399895,0,NA
13CET518TP1umu,0,1.13565851583252,1.66376923076923,0,0.640517194274069,0,NA
13TP1CET518kano,0.0151335906273946,0.0525278858747448,0.644902226607578,0.536279849916418,0.355386629447033,0.0073432787678666,0.717474434871692
18.GS.C4B.CET.600.setA.IK,0,1.10845011007116,1.89038791882964,0,0.556938373679672,0,NA
13.GS.C1.CE.864.IB,0,0.871529919400774,1.15847103155912,0,0.805853269114804,0,NA
16.GS.SelGain.PYT.571.IB,0,0.417084063214097,1.32254205607477,0,0.488317520374742,0,NA
20.GS.C5.CE.820.IB,0,0.25153016104242,0.745048530097994,0,0.673147864236122,0,NA
19.GS.C4C.CE.822.IB,0,0.786956403259269,2.14415159944367,0,0.413732700969522,0,NA
13.GS.C1.CE.855.IK,0.00902609712129032,0.987506381929377,1.37373123857704,0.0246900507927557,0.723382805095778,0.00880453605566119,0.156673924277955
13CET518TP1Otobi,0.302335012988092,0.807012457311144,2.17607635029873,0.659228547010716,0.412825000689537,0.115491355770108,0.786131062883632
19.GS.C4B.PYT.500.IK,0,1.25966019930545,1.77464886731392,0,0.632432627793821,0,NA
21.GS.C4B.PYT.500.MK,0.00809884936802835,0.725917250806899,1.45498828170877,0.0868660328655728,0.585577070943158,0.00741879770227928,0.289773918489438
20.GS.C4B.PYT.500.IK,0,0.913851553372415,1.86293066255777,0,0.513146222533574,0,NA
12CET500TP1umu,0,1.76402585860323,1.8466679130638,0,0.719223170885832,0,NA
