repeats,id,predOf,Trait,Accuracy,Model
2,Fold2,GEBV,Cylindrical_type,0.1703822832453487,Additive_Dom
2,Fold2,GETGV,Cylindrical_type,0.11123766092092542,Additive_Dom
2,Fold2,GEBV,Umbrella_type,-0.014021510218549598,Additive_Dom
2,Fold2,GETGV,Umbrella_type,-0.028297010017867285,Additive_Dom
2,Fold2,GEBV,Open_type,0.1283166878598041,Additive_Dom
2,Fold2,GETGV,Open_type,0.1875491956462247,Additive_Dom
2,Fold2,GEBV,Compact_type,-0.0062830332013229535,Additive_Dom
2,Fold2,GETGV,Compact_type,0.08965619330511165,Additive_Dom
2,Fold3,GEBV,BranchlevelNum,0.39600585269322974,Additive_Dom
2,Fold3,GETGV,BranchlevelNum,0.39691323688055713,Additive_Dom
2,Fold3,GEBV,FirstBranchHeight,0.29311356208155276,Additive_Dom
2,Fold3,GETGV,FirstBranchHeight,0.29311356208155276,Additive_Dom
2,Fold3,GEBV,PlantHeight,0.2627216109809845,Additive_Dom
2,Fold3,GETGV,PlantHeight,0.2790955316939438,Additive_Dom
2,Fold3,GEBV,Cylindrical_type,0.13564595848396008,Additive_Dom
2,Fold3,GETGV,Cylindrical_type,0.1471667786453861,Additive_Dom
2,Fold3,GEBV,Umbrella_type,-0.04042574086823449,Additive_Dom
2,Fold3,GETGV,Umbrella_type,0.02986467349956439,Additive_Dom
2,Fold3,GEBV,Open_type,0.25141276423628467,Additive_Dom
2,Fold3,GETGV,Open_type,0.2322285197652123,Additive_Dom
2,Fold3,GEBV,Compact_type,0.08473923258118564,Additive_Dom
2,Fold3,GETGV,Compact_type,0.1642501806589473,Additive_Dom
2,Fold4,GEBV,BranchlevelNum,0.42438882336180894,Additive_Dom
2,Fold4,GETGV,BranchlevelNum,0.418624128186447,Additive_Dom
2,Fold4,GEBV,FirstBranchHeight,0.2595335225036296,Additive_Dom
2,Fold4,GETGV,FirstBranchHeight,0.25774394336110407,Additive_Dom
2,Fold4,GEBV,PlantHeight,0.22482187225951003,Additive_Dom
2,Fold4,GETGV,PlantHeight,0.21986203455982858,Additive_Dom
2,Fold4,GEBV,Cylindrical_type,0.23224810554532258,Additive_Dom
2,Fold4,GETGV,Cylindrical_type,0.14127186719771961,Additive_Dom
2,Fold4,GEBV,Umbrella_type,NA,Additive_Dom
2,Fold4,GETGV,Umbrella_type,0.08551637367469662,Additive_Dom
2,Fold4,GEBV,Open_type,0.20821252241587473,Additive_Dom
2,Fold4,GETGV,Open_type,0.2600448231562711,Additive_Dom
2,Fold4,GEBV,Compact_type,0.030916954944448797,Additive_Dom
2,Fold4,GETGV,Compact_type,0.04312579413537776,Additive_Dom
2,Fold5,GEBV,BranchlevelNum,0.46260546300188676,Additive_Dom
2,Fold5,GETGV,BranchlevelNum,0.46510827930806625,Additive_Dom
2,Fold5,GEBV,FirstBranchHeight,0.2434981063770527,Additive_Dom
2,Fold5,GETGV,FirstBranchHeight,0.2408458052475621,Additive_Dom
2,Fold5,GEBV,PlantHeight,0.22716662278308852,Additive_Dom
2,Fold5,GETGV,PlantHeight,0.2256003419125876,Additive_Dom
2,Fold5,GEBV,Cylindrical_type,0.17062204432821712,Additive_Dom
2,Fold5,GETGV,Cylindrical_type,0.1004217583185366,Additive_Dom
2,Fold5,GEBV,Umbrella_type,-0.021638204175471982,Additive_Dom
2,Fold5,GETGV,Umbrella_type,0.0193266979496554,Additive_Dom
2,Fold5,GEBV,Open_type,0.32020617410183105,Additive_Dom
2,Fold5,GETGV,Open_type,0.34648790984259215,Additive_Dom
2,Fold5,GEBV,Compact_type,0.04672194468317983,Additive_Dom
2,Fold5,GETGV,Compact_type,0.059089425895040695,Additive_Dom
3,Fold1,GEBV,BranchlevelNum,0.4353348279992273,Additive_Dom
3,Fold1,GETGV,BranchlevelNum,0.42733424286958227,Additive_Dom
3,Fold1,GEBV,FirstBranchHeight,0.24646233324857061,Additive_Dom
3,Fold1,GETGV,FirstBranchHeight,0.24646233324857061,Additive_Dom
3,Fold1,GEBV,PlantHeight,0.18245595467143516,Additive_Dom
3,Fold1,GETGV,PlantHeight,0.18926161609503656,Additive_Dom
3,Fold1,GEBV,Cylindrical_type,0.06900008196022582,Additive_Dom
3,Fold1,GETGV,Cylindrical_type,0.07014114956360114,Additive_Dom
3,Fold1,GEBV,Umbrella_type,-0.006446055504147252,Additive_Dom
3,Fold1,GETGV,Umbrella_type,0.04276556479952294,Additive_Dom
3,Fold1,GEBV,Open_type,0.22363681389032308,Additive_Dom
3,Fold1,GETGV,Open_type,0.255623121095829,Additive_Dom
3,Fold1,GEBV,Compact_type,0.055593395403436635,Additive_Dom
3,Fold1,GETGV,Compact_type,0.19722877415060724,Additive_Dom
3,Fold2,GEBV,BranchlevelNum,0.4697695001080856,Additive_Dom
3,Fold2,GETGV,BranchlevelNum,0.4609568199650155,Additive_Dom
3,Fold2,GEBV,FirstBranchHeight,0.24379718551568685,Additive_Dom
3,Fold2,GETGV,FirstBranchHeight,0.24379718551568685,Additive_Dom
3,Fold2,GEBV,PlantHeight,0.2779284926229626,Additive_Dom
3,Fold2,GETGV,PlantHeight,0.2873740542154529,Additive_Dom
3,Fold2,GEBV,Cylindrical_type,0.12042845566493886,Additive_Dom
3,Fold2,GETGV,Cylindrical_type,0.10411949546534018,Additive_Dom
3,Fold2,GEBV,Umbrella_type,-0.021434953016590503,Additive_Dom
3,Fold2,GETGV,Umbrella_type,-0.012283661043652146,Additive_Dom
3,Fold2,GEBV,Open_type,0.22959178680982048,Additive_Dom
3,Fold2,GETGV,Open_type,0.2538556477554643,Additive_Dom
3,Fold2,GEBV,Compact_type,-0.001813562603690269,Additive_Dom
